iter	Passed	Remaining
417	2583	615588
418	2589	615530
419	2595	615454
420	2601	615348
421	2607	615284
422	2613	615238
423	2619	615172
424	2625	615104
425	2631	615029
426	2637	614950
427	2643	614974
428	2649	614962
429	2655	614932
430	2661	614879
431	2667	614811
432	2673	614768
433	2679	614713
434	2685	614632
435	2691	614591
436	2697	614562
437	2703	614473
438	2709	614395
439	2715	614338
440	2720	614263
441	2726	614225
442	2732	614144
443	2738	614096
444	2744	614037
445	2750	613942
446	2756	613892
447	2762	613835
448	2768	613798
449	2774	613728
450	2780	613657
451	2786	613610
452	2791	613542
453	2797	613472
454	2803	613378
455	2809	613348
456	2815	613310
457	2821	613266
458	2827	613234
459	2833	613178
460	2839	613120
461	2845	613087
462	2851	613049
463	2857	612969
464	2863	612884
465	2869	612820
466	2874	612755
467	2880	612706
468	2887	612678
469	2892	612637
470	2898	612574
471	2904	612502
472	2910	612480
473	2916	612460
474	2922	612421
475	2928	612358
476	2934	612283
477	2940	612207
478	2946	612174
479	2980	617929
480	2986	617930
481	2992	617883
482	2998	617839
483	3004	617822
484	3010	617763
485	3017	617798
486	3023	617721
487	3028	617657
488	3035	617643
489	3041	617588
490	3047	617552
491	3053	617509
492	3059	617453
493	3065	617401
494	3070	617322
495	3076	617237
496	3082	617128
497	3088	617066
498	3094	617025
499	3100	616960
500	3106	616924
501	3112	616989
502	3118	616955
503	3124	616910
504	3130	616846
505	3136	616771
506	3142	616695
507	3148	616659
508	3154	616632
509	3160	616604
510	3166	616553
511	3172	616486
512	3178	616441
513	3184	616385
514	3190	616316
515	3196	616285
516	3202	616220
517	3208	616153
518	3214	616088
519	3220	616050
520	3226	616022
521	3232	615974
522	3238	615928
523	3244	615885
524	3250	615814
525	3256	615771
526	3261	615701
527	3267	615635
528	3273	615577
529	3279	615528
530	3285	615469
531	3291	615426
532	3297	615383
533	3303	615371
534	3309	615327
535	3315	615284
536	3321	615228
537	3327	615165
538	3333	615087
539	3339	615016
540	3345	614962
541	3350	614909
542	3356	614848
543	3362	614807
544	3368	614770
545	3374	614736
546	3380	614709
547	3386	614659
548	3393	614644
549	3398	614582
550	3406	614826
551	3412	614785
552	3418	614725
553	3424	614667
554	3430	614712
555	3436	614681
556	3442	614646
557	3448	614594
558	3454	614547
559	3460	614487
560	3466	614459
561	3472	614475
562	3478	614439
563	3485	614423
564	3490	614383
565	3497	614357
566	3502	614292
567	3508	614229
568	3514	614219
569	3520	614160
570	3526	614103
571	3532	614062
572	3538	614011
573	3544	614005
574	3550	613970
575	3556	613921
576	3562	613889
577	3568	613822
578	3574	613788
579	3580	613726
580	3586	613674
581	3592	613616
582	3598	613574
583	3604	613521
584	3609	613468
585	3615	613442
586	3621	613408
587	3628	613390
588	3634	613355
589	3640	613332
590	3646	613280
591	3652	613255
592	3657	613191
593	3663	613145
594	3669	613086
595	3675	613047
596	3681	612995
597	3687	612959
598	3693	612921
599	3699	612904
600	3705	612841
601	3711	612811
602	3717	612749
603	3723	612713
604	3729	612712
605	3735	612681
606	3741	612633
607	3747	612624
608	3753	612570
609	3759	612549
610	3765	612519
611	3771	612480
612	3777	612418
613	3783	612357
614	3788	612296
615	3794	612262
616	3800	612222
617	3806	612193
618	3812	612167
619	3818	612131
620	3829	612871
621	3836	612910
622	3842	612905
623	3848	612864
624	3854	612812
625	3860	612775
626	3866	612754
627	3872	612729
628	3878	612701
629	3884	612655
630	3890	612611
631	3896	612584
632	3902	612532
633	3908	612506
634	3914	612480
635	3920	612485
636	3926	612457
637	3932	612422
638	3938	612368
639	3944	612337
640	3950	612294
641	3956	612259
642	3962	612239
643	3989	615484
644	4008	617400
645	4014	617388
646	4020	617333
647	4026	617291
648	4031	617223
649	4037	617166
650	4043	617130
651	4049	617084
652	4055	617047
653	4061	617021
654	4067	616975
655	4073	616926
656	4079	616911
657	4085	616854
658	4091	616802
659	4097	616749
660	4103	616717
661	4109	616705
662	4118	617010
663	4123	616959
664	4129	616902
665	4135	616819
666	4141	616783
667	4147	616733
668	4153	616690
669	4159	616651
670	4165	616601
671	4171	616546
672	4177	616476
673	4182	616418
674	4188	616385
675	4194	616334
676	4200	616271
677	4206	616221
678	4212	616165
679	4218	616121
680	4224	616062
681	4230	616009
682	4235	615963
683	4241	615920
