iter	Passed	Remaining
420	2423	573122
421	2428	573074
422	2434	573046
423	2439	573005
424	2445	572987
425	2451	572931
426	2456	572883
427	2462	572844
428	2467	572821
429	2473	572794
430	2479	572773
431	2484	572711
432	2490	572681
433	2496	572649
434	2501	572637
435	2507	572627
436	2513	572611
437	2518	572576
438	2524	572557
439	2530	572511
440	2535	572498
441	2541	572482
442	2547	572467
443	2552	572436
444	2558	572408
445	2564	572394
446	2570	572397
447	2575	572372
448	2581	572355
449	2587	572310
450	2592	572248
451	2598	572202
452	2603	572172
453	2609	572137
454	2614	572096
455	2620	572055
456	2626	572019
457	2631	572022
458	2637	572004
459	2643	571964
460	2648	571937
461	2654	571909
462	2660	571899
463	2665	571856
464	2671	571838
465	2677	571788
466	2682	571785
467	2688	571804
468	2694	571766
469	2699	571761
470	2705	571740
471	2711	571704
472	2716	571676
473	2722	571643
474	2728	571609
475	2733	571571
476	2739	571552
477	2744	571512
478	2750	571471
479	2756	571438
480	2761	571409
481	2767	571367
482	2772	571338
483	2778	571298
484	2784	571255
485	2789	571229
486	2795	571211
487	2801	571185
488	2806	571147
489	2812	571125
490	2817	571094
491	2823	571070
492	2829	571028
493	2834	571020
494	2840	570986
495	2846	570960
496	2851	570926
497	2857	570944
498	2863	570932
499	2868	570889
500	2874	570865
501	2880	570845
502	2885	570825
503	2891	570812
504	2897	570781
505	2902	570751
506	2908	570786
507	2914	570818
508	2920	570797
509	2925	570769
510	2931	570753
511	2937	570734
512	2942	570739
513	2948	570721
514	2954	570686
515	2959	570663
516	2992	575857
517	2998	575878
518	3004	575900
519	3010	575943
520	3016	575979
521	3022	575973
522	3027	575935
523	3033	575905
524	3039	575859
525	3044	575831
526	3050	575800
527	3056	575772
528	3061	575735
529	3067	575720
530	3074	575928
531	3080	575897
532	3085	575866
533	3091	575813
534	3096	575780
535	3102	575751
536	3108	575738
537	3114	575701
538	3119	575665
539	3125	575621
540	3130	575593
541	3136	575550
542	3142	575523
543	3147	575495
544	3153	575461
545	3158	575400
546	3164	575361
547	3170	575327
548	3175	575295
549	3181	575263
550	3187	575232
551	3192	575235
552	3198	575198
553	3204	575182
554	3209	575140
555	3215	575140
556	3221	575112
557	3226	575083
558	3232	575046
559	3238	575032
560	3243	574990
561	3249	575007
562	3255	575045
563	3261	575022
564	3267	574997
565	3272	574964
566	3279	575030
567	3284	575004
568	3290	574997
569	3296	574981
570	3301	574944
571	3307	574925
572	3313	574881
573	3318	574861
574	3324	574834
575	3330	574806
576	3335	574768
577	3341	574724
578	3348	574933
579	3353	574902
580	3359	574869
581	3365	574841
582	3370	574816
583	3376	574789
584	3382	574763
585	3387	574736
586	3393	574721
587	3399	574688
588	3404	574666
589	3410	574633
590	3416	574596
591	3421	574570
592	3427	574524
593	3432	574501
594	3438	574466
595	3444	574432
596	3449	574416
597	3455	574380
598	3461	574336
599	3466	574311
600	3472	574267
601	3477	574238
602	3483	574211
603	3489	574184
604	3494	574140
605	3500	574103
606	3505	574086
607	3511	574042
608	3517	574010
609	3522	573988
610	3528	573967
611	3534	573961
612	3539	573941
613	3545	573915
614	3551	573903
615	3556	573874
616	3562	573832
617	3568	573843
618	3574	573833
619	3579	573814
620	3585	573778
621	3591	573759
622	3596	573729
623	3602	573695
624	3607	573664
625	3613	573671
626	3619	573651
627	3625	573617
628	3631	573687
629	3637	573684
630	3642	573670
631	3648	573651
632	3654	573621
633	3659	573586
634	3665	573580
635	3671	573542
636	3676	573541
637	3682	573538
638	3688	573506
639	3693	573479
640	3699	573450
641	3705	573436
642	3710	573408
643	3716	573367
644	3722	573453
645	3728	573428
646	3734	573398
647	3739	573361
648	3745	573342
649	3750	573317
